TemperatureC,Humidity,PressurehPa,WindDirectionDegrees,SolarRadiationWatts/m^2,DewpointC,WindSpeedKMH,datetime
13.325,90.58333333,1023.566667,340.4166667,0,11.80833333,2.933333333,2015-04-14T01:00:00Z
13.41666667,90,1023.65,336.25,11.33333333,11.81666667,2.275,2015-04-14T02:00:00Z
13.69166667,89.33333333,1024.166667,306.8333333,26.91666667,11.93333333,1.466666667,2015-04-14T03:00:00Z
13.875,87.25,1024.45,36.91666667,81.16666667,11.80833333,2.266666667,2015-04-14T04:00:00Z
14.25833333,85.41666667,1024.6,73.16666667,166.25,11.825,7.216666667,2015-04-14T05:00:00Z
14.58333333,83.58333333,1024.45,99.75,354.3333333,11.85833333,8.441666667,2015-04-14T06:00:00Z
14.675,83.58333333,1024,128.9166667,796.25,11.925,11.825,2015-04-14T07:00:00Z
14.61666667,83.66666667,1023.7,134.0833333,817.8333333,11.9,12.49166667,2015-04-14T08:00:00Z
14.68333333,83.25,1023.216667,131.8333333,788.3333333,11.9,12.21666667,2015-04-14T09:00:00Z
14.65,83.33333333,1022.625,132.0833333,686.3333333,11.86666667,10.34166667,2015-04-14T10:00:00Z
14.61666667,82.91666667,1021.975,130.5,551.3333333,11.74166667,8.858333333,2015-04-14T11:00:00Z
14.36666667,83.25,1021.591667,130.5833333,405.25,11.575,8.441666667,2015-04-14T12:00:00Z
14.29166667,83.91666667,1021.466667,128.0833333,143.3333333,11.61666667,4.666666667,2015-04-14T13:00:00Z
14.2,84.33333333,1021.2,118,33.33333333,11.575,4.266666667,2015-04-14T14:00:00Z
14.075,85,1021.15,113.25,0,11.575,4.541666667,2015-04-14T15:00:00Z
13.88333333,85,1021.566667,115.25,0,11.38333333,3.2,2015-04-14T16:00:00Z
13.8,84.83333333,1021.7,115.1666667,0,11.26666667,2.933333333,2015-04-14T17:00:00Z
13.8,84,1021.6,118.25,0,11.13333333,6.141666667,2015-04-14T18:00:00Z
13.75,82.83333333,1021.6,123.9166667,0,10.875,6.816666667,2015-04-14T19:00:00Z
13.8,82,1021.381818,112.5454545,0,10.8,5.381818182,2015-04-14T20:00:00Z
13.78333333,81.41666667,1020.983333,107.9166667,0,10.66666667,4.675,2015-04-14T21:00:00Z
13.79166667,81.08333333,1020.35,90.66666667,0,10.60833333,2.933333333,2015-04-14T22:00:00Z
13.8,81,1020.2,92,0,10.6,1.6,2015-04-14T23:00:00Z
14.775,85.25,1020.6,104.75,140.875,12.325,11.675,2015-04-15T00:00:00Z
15.11666667,84.66666667,1021.108333,106.8333333,192.3333333,12.55,13.7,2015-04-15T01:00:00Z
14.80833333,86.33333333,1021.15,120.6666667,147.25,12.55833333,18.23333333,2015-04-15T02:00:00Z
14.49166667,86.08333333,1020.925,128.9166667,319.1666667,12.18333333,17.7,2015-04-15T03:00:00Z
14.55833333,84.33333333,1020.866667,133.5,306,11.93333333,13.03333333,2015-04-15T04:00:00Z
14.35833333,84.58333333,1020.458333,132.3333333,202.4166667,11.775,13.16666667,2015-04-15T05:00:00Z
14.275,85,1020.016667,124.1666667,164,11.775,9.525,2015-04-15T06:00:00Z
14.625,84.75,1019.191667,107.8333333,195.8333333,12.075,7.091666667,2015-04-15T07:00:00Z
14.6,85.5,1018.85,97.75,96.25,12.15833333,7.9,2015-04-15T08:00:00Z
14.58333333,85.66666667,1018.141667,73.33333333,81.83333333,12.18333333,8.433333333,2015-04-15T09:00:00Z
14.51666667,86,1017.9,80,23.66666667,12.2,4.266666667,2015-04-15T10:00:00Z
14.58333333,86.33333333,1018.016667,81,1.333333333,12.3,3.466666667,2015-04-15T11:00:00Z
14.60833333,87,1018.475,91.16666667,0,12.44166667,3.341666667,2015-04-15T12:00:00Z
14.68333333,87.16666667,1018.475,93.08333333,0,12.59166667,6.808333333,2015-04-15T13:00:00Z
14.6,88.5,1018.375,86.5,0,12.71666667,9.516666667,2015-04-15T14:00:00Z
14.65833333,87.41666667,1017.8,59.08333333,0,12.59166667,9.233333333,2015-04-15T15:00:00Z
14.8,86.18181818,1018.218182,98.63636364,0,12.49090909,8.327272727,2015-04-15T16:00:00Z
14.79166667,88.83333333,1017.858333,140.75,0,13,9.783333333,2015-04-15T17:00:00Z
14.65833333,90.75,1017.133333,57,0,13.19166667,7.641666667,2015-04-15T18:00:00Z
14.43333333,90.5,1015.916667,48.83333333,0,12.90833333,10.86666667,2015-04-15T19:00:00Z
14.64166667,85.75,1015.5,56,0,12.28333333,6.15,2015-04-15T20:00:00Z
14.41818182,82.63636364,1015.318182,11,0,11.52727273,5.1,2015-04-15T21:00:00Z
14.66666667,81.16666667,1015.266667,33.33333333,16.41666667,11.5,8.566666667,2015-04-15T22:00:00Z
15.24166667,85.66666667,1015.433333,73.91666667,35,12.84166667,13.41666667,2015-04-15T23:00:00Z
15.29166667,90.5,1015.1,108.25,206.0833333,13.76666667,21.58333333,2015-04-16T00:00:00Z
15.23333333,91.33333333,1015.333333,108.75,197.6666667,13.86666667,22.25,2015-04-16T01:00:00Z
14.95833333,91.16666667,1015.466667,112.4166667,92.08333333,13.55833333,30.45,2015-04-16T02:00:00Z
14.95833333,92.41666667,1015.4,101.0833333,38.08333333,13.76666667,21.86666667,2015-04-16T03:00:00Z
14.93333333,93.41666667,1015.366667,104.5833333,99.25,13.9,11.4,2015-04-16T04:00:00Z
14.575,92.66666667,1014.95,177.25,141,13.4,10.85833333,2015-04-16T05:00:00Z
15.00833333,89.66666667,1014.375,30.91666667,350.8333333,13.35,12.20833333,2015-04-16T06:00:00Z
15.75833333,89.75,1013.95,90.41666667,385.8333333,14.075,8.983333333,2015-04-16T07:00:00Z
15.54166667,91.16666667,1013.825,61.66666667,194.25,14.13333333,10.19166667,2015-04-16T08:00:00Z
15.475,91.33333333,1013.433333,86.66666667,106.5833333,14.10833333,7.775,2015-04-16T09:00:00Z
15.24166667,92,1013.533333,41.5,23,13.95,4.675,2015-04-16T10:00:00Z
15.23333333,92,1013.85,54.25,0,13.94166667,8.041666667,2015-04-16T11:00:00Z
15.075,93,1014.1,53.58333333,0,13.91666667,8.958333333,2015-04-16T12:00:00Z
15.025,93,1014.35,57,0,13.89166667,7.908333333,2015-04-16T13:00:00Z
14.8,92.91666667,1014.1,33.75,0,13.68333333,7.65,2015-04-16T14:00:00Z
14.78333333,92,1014.1,48.66666667,0,13.51666667,6.708333333,2015-04-16T15:00:00Z
14.74166667,92,1013.7,45,0,13.44166667,5.2,2015-04-16T16:00:00Z
15.06666667,92.41666667,1013.35,79.83333333,0,13.86666667,7.358333333,2015-04-16T17:00:00Z
14.90833333,93.5,1012.875,113.5,0,13.88333333,8.175,2015-04-16T18:00:00Z
14.40833333,93.58333333,1012.5,161.8333333,0,13.39166667,2.95,2015-04-16T19:00:00Z
14.3,93.41666667,1012.2,106.1666667,0,13.25833333,3.466666667,2015-04-16T20:00:00Z
14.28333333,92.25,1012.15,23.25,0,13.06666667,5.866666667,2015-04-16T21:00:00Z
14.41666667,90.91666667,1012.325,28.91666667,11,12.96666667,5.475,2015-04-16T22:00:00Z
14.68333333,90,1012.475,36.58333333,81.75,13.05833333,10.86666667,2015-04-16T23:00:00Z
14.95,88.08333333,1012.466667,49.58333333,122,13.03333333,11.68333333,2015-04-17T00:00:00Z
15.275,87,1012.791667,55.58333333,241.25,13.11666667,12.875,2015-04-17T01:00:00Z
15.3,89,1013.125,62,163.4166667,13.5,11.66666667,2015-04-17T02:00:00Z
15.4,90.91666667,1013.275,62.25,225.0833333,13.95833333,12.61666667,2015-04-17T03:00:00Z
15.68181818,90.36363636,1013.127273,58.54545455,473.8181818,14.1,14.63636364,2015-04-17T04:00:00Z
16.26666667,88.08333333,1013.025,64.33333333,755.25,14.28333333,16.225,2015-04-17T05:00:00Z
15.9,88.83333333,1012.8,77.08333333,308.4166667,14.06666667,13.15833333,2015-04-17T06:00:00Z
15.775,89.58333333,1012.8,86.16666667,242.9166667,14.09166667,11.81666667,2015-04-17T07:00:00Z
15.575,89.58333333,1012.7,68,172.1666667,13.89166667,13.15,2015-04-17T08:00:00Z
15.375,89.75,1012.466667,54.41666667,88.16666667,13.725,7.758333333,2015-04-17T09:00:00Z
15.28333333,89,1012.533333,42.16666667,53.08333333,13.5,5.616666667,2015-04-17T10:00:00Z
15.29166667,87.33333333,1012.841667,33.08333333,2.333333333,13.19166667,3.733333333,2015-04-17T11:00:00Z
15.00833333,87.5,1013.491667,87.33333333,0,12.95,5.358333333,2015-04-17T12:00:00Z
14.35,88.91666667,1014.075,351.6666667,0,12.55833333,4.933333333,2015-04-17T13:00:00Z
14.20833333,88.5,1014.35,342.25,0,12.34166667,6.575,2015-04-17T14:00:00Z
14.325,88,1015.075,338.5,0,12.375,7.775,2015-04-17T15:00:00Z
14.26666667,88.5,1015.516667,329,0,12.41666667,7.483333333,2015-04-17T16:00:00Z
12.825,86,1016.583333,311.0833333,0,10.525,11.4,2015-04-17T17:00:00Z
11.89,82.9,1016.92,301.7,0,9.09,18.82,2015-04-17T18:00:00Z
11.51818182,78.27272727,1017.118182,306.9090909,0,7.854545455,27.5,2015-04-17T19:00:00Z
10.65,77.41666667,1017.575,306.75,0,6.875,24.66666667,2015-04-17T20:00:00Z
10.275,77.5,1017.966667,283.9166667,0,6.541666667,24.80833333,2015-04-17T21:00:00Z
10.275,75.91666667,1018.525,302.4166667,18.33333333,6.225,24.675,2015-04-17T22:00:00Z
10.35,74.25,1018.7,309.1666667,76,5.991666667,23.59166667,2015-04-17T23:00:00Z
10.54166667,73.08333333,1018.9,317.4166667,179.75,5.933333333,28.55833333,2015-04-18T00:00:00Z
11.13333333,70.66666667,1019.225,321,423.3333333,6.008333333,23.05,2015-04-18T01:00:00Z
11.65833333,66.25,1019.275,319.4166667,365.75,5.583333333,24.14166667,2015-04-18T02:00:00Z
12.75,62.25,1018.841667,286.0833333,573.75,5.691666667,21.19166667,2015-04-18T03:00:00Z
13.49166667,59.08333333,1018.4,299.4166667,514.5,5.666666667,25.74166667,2015-04-18T04:00:00Z
13.775,56.58333333,1018.241667,312.6666667,285,5.308333333,25.74166667,2015-04-18T05:00:00Z
14.39166667,53.75,1017.925,308.4166667,336.5,5.158333333,21.3,2015-04-18T06:00:00Z
15.02727273,50.81818182,1017.281818,308.0909091,369.9090909,4.918181818,22.67272727,2015-04-18T07:00:00Z
15.16363636,49.36363636,1017.2,300.5454545,270,4.6,22.39090909,2015-04-18T08:00:00Z
15.025,47.33333333,1017.45,300.75,173.1666667,3.916666667,23.86666667,2015-04-18T09:00:00Z
14.74166667,50.41666667,1017.475,316.4166667,72.16666667,4.558333333,22.39166667,2015-04-18T10:00:00Z
14.26666667,50.75,1017.8,308.25,3.083333333,4.191666667,19.45833333,2015-04-18T11:00:00Z
14,49.58333333,1018.525,306.4166667,0,3.608333333,20.25,2015-04-18T12:00:00Z
13.80833333,50.83333333,1018.8,303.6666667,0,3.825,16.09166667,2015-04-18T13:00:00Z
13.5,52.41666667,1019.158333,302.5,0,3.95,14.2,2015-04-18T14:00:00Z
13.54166667,52,1019.275,313.8333333,0,3.85,14.61666667,2015-04-18T15:00:00Z
13.43333333,52.25,1019.325,308,0,3.858333333,22.26666667,2015-04-18T16:00:00Z
13.25833333,53.41666667,1019.216667,302.5,0,3.983333333,21.43333333,2015-04-18T17:00:00Z
13.15,53.91666667,1019.225,308.9166667,0,4.008333333,19.975,2015-04-18T18:00:00Z
12.95,54.58333333,1019.2,316,0,3.983333333,26.00833333,2015-04-18T19:00:00Z
12.76666667,56.58333333,1018.9,298.5,0,4.358333333,20.38333333,2015-04-18T20:00:00Z
12.75833333,57.33333333,1019.166667,297.5,6.25,4.566666667,16.9,2015-04-18T21:00:00Z
13.125,55.66666667,1019.475,297.4166667,108.9166667,4.466666667,18.36666667,2015-04-18T22:00:00Z
14.08333333,51.91666667,1019.766667,299.1666667,289.8333333,4.358333333,19.98333333,2015-04-18T23:00:00Z
15.14166667,48.66666667,1019.733333,307.4166667,476.1666667,4.408333333,18.50833333,2015-04-19T00:00:00Z
16.64545455,45,1019.536364,315.4545455,648.9090909,4.654545455,15.94545455,2015-04-19T01:00:00Z
17.91818182,39.45454545,1019.5,302.8181818,774.8181818,3.9,15.07272727,2015-04-19T02:00:00Z
18.91666667,34.25,1019.4,310.25,856,2.833333333,18.63333333,2015-04-19T03:00:00Z
19.96666667,29.83333333,1018.933333,308.9166667,889,1.791666667,14.09166667,2015-04-19T04:00:00Z
17.82307692,53.84615385,1018.546154,139.7692308,847.7692308,8.061538462,11.02307692,2015-04-19T05:00:00Z
16.95833333,63.91666667,1018.183333,139.4166667,754.6666667,10.08333333,5.883333333,2015-04-19T06:00:00Z
16.75454545,66.36363636,1017.581818,173.9090909,624.7272727,10.45454545,6.127272727,2015-04-19T07:00:00Z
16.50909091,71.63636364,1017.209091,186.9090909,413.4545455,11.35454545,5.981818182,2015-04-19T08:00:00Z
16.54166667,68.5,1017.241667,155.8333333,168.75,10.7,3.208333333,2015-04-19T09:00:00Z
16.12727273,71.45454545,1017.581818,99,55.09090909,10.94545455,5.245454545,2015-04-19T10:00:00Z
15.125,70.75,1018.141667,21.83333333,2.083333333,9.833333333,7.9,2015-04-19T11:00:00Z
13.34,67.4,1018.88,352.6,0,7.42,10.15,2015-04-19T12:00:00Z
12.125,71.75,1019.325,337.75,0,7.175,10.36666667,2015-04-19T13:00:00Z
11.30833333,74.41666667,1019.6,331.5,0,6.916666667,12.75,2015-04-19T14:00:00Z
10.74166667,75.08333333,1019.866667,342.5833333,0,6.491666667,14.23333333,2015-04-19T15:00:00Z
11.325,66.5,1019.975,332.25,0,5.291666667,12.74166667,2015-04-19T16:00:00Z
12.43333333,52.16666667,1020.175,324.25,0,2.85,9.391666667,2015-04-19T17:00:00Z
12.9,50.16666667,1020.475,310.5,0,2.775,4.4,2015-04-19T18:00:00Z
13.50909091,44,1020.5,305.0909091,0,1.472727273,9.345454545,2015-04-19T19:00:00Z
13.73636364,44,1020.872727,309,0,1.663636364,3.209090909,2015-04-19T20:00:00Z
12.975,54.16666667,1021.691667,353,7.083333333,3.833333333,5.6,2015-04-19T21:00:00Z
13.075,51,1022.6,350.3333333,114,3.183333333,5.075,2015-04-19T22:00:00Z
14.51666667,65.33333333,1023.108333,146,293,7.991666667,6.683333333,2015-04-19T23:00:00Z
15.26666667,69.66666667,1023.5,91.91666667,472.5,9.741666667,6.55,2015-04-20T00:00:00Z
15.59166667,73.33333333,1023.75,108.6666667,632.75,10.84166667,6.275,2015-04-20T01:00:00Z
15.575,75.58333333,1024.033333,121.75,756.0833333,11.29166667,6.816666667,2015-04-20T02:00:00Z
15.93333333,75.58333333,1024.266667,118.0833333,834.5833333,11.64166667,7.483333333,2015-04-20T03:00:00Z
15.73333333,83.5,1024.3,118.6666667,857,12.94166667,8.575,2015-04-20T04:00:00Z
16.075,81.41666667,1023.966667,121.1666667,827.9166667,12.89166667,5.875,2015-04-20T05:00:00Z
15.95833333,81.83333333,1023.566667,127.75,742.0833333,12.85,7.766666667,2015-04-20T06:00:00Z
16.225,80.08333333,1023.125,118.0833333,609.8333333,12.81666667,7.625,2015-04-20T07:00:00Z
16.025,80.66666667,1022.925,120.75,413.9166667,12.69166667,6.4,2015-04-20T08:00:00Z
15.83636364,81.90909091,1022.927273,117.4545455,177.2727273,12.77272727,5.818181818,2015-04-20T09:00:00Z
15.66666667,82.75,1022.675,117.9166667,58.33333333,12.71666667,2.4,2015-04-20T10:00:00Z
15.34166667,83.91666667,1022.75,118.25,2.916666667,12.65,0.933333333,2015-04-20T11:00:00Z
14.18333333,84.33333333,1023.3,271.4166667,0,11.6,7.525,2015-04-20T12:00:00Z
13.09333333,85.13333333,1023.86,341.5333333,0,10.65333333,10.62666667,2015-04-20T13:00:00Z
12.11666667,84.25,1023.9,339.5833333,0,9.558333333,11.825,2015-04-20T14:00:00Z
11.70909091,79.81818182,1023.9,335.7272727,0,8.345454545,14.06363636,2015-04-20T15:00:00Z
11.28333333,79.08333333,1023.966667,337.5833333,0,7.775,13.14166667,2015-04-20T16:00:00Z
10.64166667,77.83333333,1023.933333,337.4166667,0,6.933333333,15.425,2015-04-20T17:00:00Z
10.05,78.16666667,1024,337.4166667,0,6.416666667,15.16666667,2015-04-20T18:00:00Z
9.666666667,79.33333333,1023.9,338.0833333,0,6.25,16.1,2015-04-20T19:00:00Z
9.416666667,80.66666667,1023.9,337.3333333,0,6.266666667,17.16666667,2015-04-20T20:00:00Z
9.208333333,82.66666667,1023.9,338.1666667,6.916666667,6.416666667,15.96666667,2015-04-20T21:00:00Z
9.766666667,82.5,1023.9,337.8333333,115.9166667,6.933333333,15.03333333,2015-04-20T22:00:00Z
12.40909091,75.81818182,1023.818182,337.4545455,295.8181818,8.263636364,6.718181818,2015-04-20T23:00:00Z
15.625,77.75,1023.9,160.5,477.5833333,11.75833333,3.2,2015-04-21T00:00:00Z
